LSOA_code,Core20Plus5_unique_population
E01000325,204
E01000326,205
E01000327,145
E01000328,186
E01000329,182
E01000330,167
E01000331,182
E01000332,187
E01000333,242
E01000334,233
E01000335,357
E01000336,301
E01000337,198
E01000338,300
E01000339,150
E01000340,222
E01000341,183
E01000342,204
E01000343,151
E01000344,169
E01000345,197
E01000346,251
E01000347,172
E01000348,208
E01000349,270
E01000350,226
E01000351,149
E01000352,156
E01000353,170
E01000354,237
E01000355,142
E01000356,192
E01000357,222
E01000358,225
E01000359,188
E01000360,238
E01000361,234
E01000362,389
E01000363,148
E01000364,247
E01000365,301
E01000366,246
E01000367,269
E01000368,254
E01000369,171
E01000370,201
E01000371,265
E01000372,193
E01000373,161
E01000374,1575
E01000375,208
E01000376,237
E01000377,162
E01000379,195
E01000380,217
E01000381,155
E01000382,211
E01000383,168
E01000384,234
E01000385,304
E01000386,1608
E01000387,182
E01000388,222
E01000389,210
E01000390,132
E01000391,235
E01000392,294
E01000393,227
E01000394,269
E01000395,207
E01000396,228
E01000398,167
E01000399,168
E01000400,246
E01000401,232
E01000402,170
E01000403,2535
E01000404,2599
E01000405,248
E01000406,347
E01000407,339
E01000408,251
E01000409,270
E01000410,199
E01000411,172
E01000412,276
E01000413,164
E01000414,325
E01000415,198
E01000416,199
E01000417,171
E01000418,322
E01000419,183
E01000420,208
E01000421,186
E01000422,105
E01000423,268
E01000424,221
E01000425,161
E01000426,222
E01000427,236
E01000428,251
E01000429,1850
E01000430,247
E01000431,1620
E01000433,2055
E01000434,1673
E01000435,247
E01000436,240
E01000437,230
E01000438,180
E01000439,158
E01000440,218
E01000441,1855
E01000442,166
E01000443,186
E01000444,234
E01000445,270
E01000446,214
E01000447,198
E01000448,120
E01000449,147
E01000450,167
E01000451,192
E01000452,218
E01000453,199
E01000454,231
E01000455,281
E01000456,137
E01000457,264
E01000458,208
E01000459,319
E01000460,162
E01000461,156
E01000462,328
E01000463,142
E01000464,234
E01000465,207
E01000466,280
E01000467,259
E01000468,392
E01000469,182
E01000470,2152
E01000645,143
E01000646,172
E01000647,162
E01000648,212
E01000649,310
E01000650,235
E01000651,157
E01000652,166
E01000653,251
E01000654,172
E01000655,139
E01000656,166
E01000657,227
E01000658,141
E01000659,189
E01000661,463
E01000662,279
E01000663,186
E01000664,206
E01000665,261
E01000666,289
E01000667,170
E01000668,202
E01000669,165
E01000670,253
E01000671,317
E01000672,222
E01000673,189
E01000674,284
E01000676,292
E01000677,226
E01000678,242
E01000679,262
E01000680,230
E01000681,190
E01000682,151
E01000683,209
E01000684,291
E01000685,173
E01000686,217
E01000687,138
E01000688,154
E01000689,242
E01000690,142
E01000691,213
E01000692,214
E01000693,239
E01000694,253
E01000695,146
E01000696,237
E01000697,262
E01000698,192
E01000699,235
E01000700,138
E01000701,153
E01000702,197
E01000703,292
E01000704,241
E01000705,188
E01000706,228
E01000707,206
E01000708,191
E01000709,186
E01000710,362
E01000711,251
E01000712,279
E01000713,308
E01000714,268
E01000715,288
E01000716,165
E01000717,170
E01000718,209
E01000719,291
E01000720,1755
E01000721,1651
E01000722,294
E01000723,113
E01000724,1733
E01000725,212
E01000726,130
E01000727,258
E01000728,195
E01000729,1899
E01000730,1859
E01000731,221
E01000732,230
E01000733,263
E01000734,175
E01000735,207
E01000736,253
E01000737,153
E01000738,228
E01000739,1732
E01000741,170
E01000742,288
E01000743,1858
E01000744,1509
E01000745,214
E01000746,312
E01000747,278
E01000748,167
E01000749,237
E01000750,195
E01000751,217
E01000752,206
E01000753,268
E01000754,286
E01000755,148
E01000756,274
E01000757,184
E01000758,239
E01000759,224
E01000760,260
E01000761,208
E01000762,250
E01000763,160
E01000764,245
E01000765,269
E01000766,293
E01000767,235
E01000768,221
E01000769,221
E01000770,174
E01000771,235
E01000772,193
E01000773,189
E01000774,187
E01000775,329
E01000777,186
E01000778,222
E01000779,175
E01000780,270
E01000781,229
E01000782,1552
E01000783,205
E01000784,185
E01000785,246
E01000786,231
E01000787,240
E01000788,228
E01000789,1871
E01000790,270
E01000791,232
E01000792,199
E01000793,236
E01000794,205
E01000795,212
E01000796,1527
E01000797,238
E01000798,1605
E01000799,241
E01000800,198
E01000801,148
E01000802,215
E01000803,154
E01000804,231
E01000805,178
E01000806,273
E01000807,273
E01000808,226
E01000809,209
E01000810,156
E01000811,170
E01000812,189
E01000813,167
E01000814,216
E01000815,168
E01000816,246
E01000818,266
E01000819,201
E01000820,163
E01000822,172
E01000823,223
E01000824,210
E01000825,181
E01000826,175
E01000827,280
E01000828,211
E01000829,259
E01000830,174
E01000831,169
E01000832,204
E01000833,186
E01000834,138
E01000835,243
E01000836,187
E01000837,207
E01000838,140
E01000839,196
E01000840,157
E01000841,223
E01000989,255
E01001052,1473
E01001055,1643
E01001064,258
E01001065,208
E01001079,1769
E01001081,234
E01001082,1572
E01001083,252
E01001084,310
E01001085,174
E01001130,1723
E01001131,233
E01001133,213
E01001135,244
E01001137,257
E01001138,226
E01001140,231
E01001141,141
E01001142,219
E01001143,266
E01001162,206
E01001163,312
E01001164,237
E01001190,232
E01001194,260
E01001571,206
E01001572,164
E01001573,263
E01001574,1991
E01001575,1870
E01001576,2044
E01001577,342
E01001578,346
E01001579,233
E01001580,168
E01001581,184
E01001582,138
E01001583,158
E01001584,212
E01001585,141
E01001586,174
E01001587,306
E01001588,256
E01001589,262
E01001590,186
E01001591,268
E01001592,261
E01001593,291
E01001594,252
E01001595,236
E01001596,183
E01001597,231
E01001598,206
E01001599,161
E01001600,192
E01001601,158
E01001602,2172
E01001603,1713
E01001604,150
E01001605,198
E01001606,245
E01001607,194
E01001608,207
E01001609,229
E01001610,229
E01001611,297
E01001613,276
E01001614,141
E01001615,314
E01001617,202
E01001618,327
E01001619,213
E01001620,181
E01001621,166
E01001623,221
E01001624,159
E01001625,1739
E01001629,2139
E01001631,2196
E01001632,328
E01001633,242
E01001634,1853
E01001635,213
E01001636,251
E01001637,256
E01001638,1710
E01001641,195
E01001642,163
E01001644,271
E01001645,231
E01001646,299
E01001647,142
E01001648,249
E01001649,196
E01001650,266
E01001651,1893
E01001652,206
E01001653,1591
E01001654,1642
E01001655,1532
E01001656,155
E01001657,242
E01001658,154
E01001659,245
E01001660,154
E01001661,225
E01001664,186
E01001665,263
E01001666,217
E01001669,406
E01001671,265
E01001672,307
E01001673,2665
E01001674,240
E01001675,255
E01001676,1842
E01001677,325
E01001678,289
E01001679,229
E01001680,210
E01001681,212
E01001682,212
E01001683,197
E01001684,156
E01001685,164
E01001686,174
E01001687,1535
E01001688,261
E01001690,1694
E01001692,1424
E01001693,1539
E01001694,287
E01001695,166
E01001696,361
E01001697,297
E01001698,315
E01001699,213
E01001700,309
E01001701,238
E01001702,1520
E01001703,2171
E01001704,233
E01001705,2274
E01001708,159
E01001710,1820
E01001712,2306
E01003013,372
E01003014,195
E01003015,235
E01003016,165
E01003017,227
E01003018,222
E01003019,184
E01003020,243
E01003021,231
E01003022,198
E01003023,399
E01003024,212
E01003025,219
E01003026,182
E01003027,217
E01003028,220
E01003029,279
E01003030,280
E01003031,171
E01003032,167
E01003033,188
E01003034,190
E01003035,174
E01003036,243
E01003037,1406
E01003038,267
E01003039,206
E01003040,172
E01003041,1569
E01003042,144
E01003043,186
E01003044,1485
E01003045,219
E01003046,1535
E01003047,1891
E01003048,1844
E01003049,176
E01003050,205
E01003051,349
E01003052,328
E01003053,228
E01003054,355
E01003055,247
E01003056,208
E01003057,158
E01003058,186
E01003059,218
E01003060,225
E01003061,163
E01003062,282
E01003063,146
E01003064,222
E01003065,241
E01003066,285
E01003067,205
E01003068,205
E01003069,158
E01003070,133
E01003071,270
E01003072,228
E01003073,227
E01003074,282
E01003075,1640
E01003076,258
E01003077,166
E01003078,238
E01003079,192
E01003080,266
E01003081,197
E01003082,1406
E01003083,193
E01003084,225
E01003085,220
E01003086,1517
E01003087,1573
E01003088,193
E01003089,272
E01003090,370
E01003091,168
E01003092,213
E01003093,2161
E01003094,225
E01003095,144
