LSOA_code,IMD_decile,population,__core20,__core20_pop,__core20_density,__core20_pct
E01000325,10,1683,False,0,0.0,0.0
E01000326,7,1425,False,0,0.0,0.0
E01000327,9,1622,False,0,0.0,0.0
E01000328,8,1652,False,0,0.0,0.0
E01000329,6,1805,False,0,0.0,0.0
E01000330,6,1726,False,0,0.0,0.0
E01000331,4,1752,False,0,0.0,0.0
E01000332,7,1621,False,0,0.0,0.0
E01000333,3,2029,False,0,0.0,0.0
E01000334,7,1794,False,0,0.0,0.0
E01000335,4,2946,False,0,0.0,0.0
E01000336,3,2135,False,0,0.0,0.0
E01000337,4,1884,False,0,0.0,0.0
E01000338,5,1930,False,0,0.0,0.0
E01000339,7,1642,False,0,0.0,0.0
E01000340,9,1590,False,0,0.0,0.0
E01000341,9,1509,False,0,0.0,0.0
E01000342,9,1549,False,0,0.0,0.0
E01000343,8,1510,False,0,0.0,0.0
E01000344,9,1617,False,0,0.0,0.0
E01000345,10,1315,False,0,0.0,0.0
E01000346,9,1546,False,0,0.0,0.0
E01000347,8,1523,False,0,0.0,0.0
E01000348,10,1467,False,0,0.0,0.0
E01000349,10,1741,False,0,0.0,0.0
E01000350,10,1445,False,0,0.0,0.0
E01000351,9,1554,False,0,0.0,0.0
E01000352,6,1684,False,0,0.0,0.0
E01000353,10,1658,False,0,0.0,0.0
E01000354,6,1523,False,0,0.0,0.0
E01000355,10,1465,False,0,0.0,0.0
E01000356,9,1583,False,0,0.0,0.0
E01000357,10,1375,False,0,0.0,0.0
E01000358,9,1734,False,0,0.0,0.0
E01000359,10,1330,False,0,0.0,0.0
E01000360,5,2098,False,0,0.0,0.0
E01000361,9,1660,False,0,0.0,0.0
E01000362,6,2555,False,0,0.0,0.0
E01000363,9,1625,False,0,0.0,0.0
E01000364,9,1693,False,0,0.0,0.0
E01000365,7,1837,False,0,0.0,0.0
E01000366,8,1687,False,0,0.0,0.0
E01000367,3,2428,False,0,0.0,0.0
E01000368,3,1706,False,0,0.0,0.0
E01000369,8,1754,False,0,0.0,0.0
E01000370,8,1634,False,0,0.0,0.0
E01000371,8,1682,False,0,0.0,0.0
E01000372,3,1732,False,0,0.0,0.0
E01000373,4,1448,False,0,0.0,0.0
E01000374,2,1575,True,1575,2125.8835016204935,7.270184532630919
E01000375,6,2279,False,0,0.0,0.0
E01000376,7,1689,False,0,0.0,0.0
E01000377,7,1532,False,0,0.0,0.0
E01000379,5,1776,False,0,0.0,0.0
E01000380,4,1717,False,0,0.0,0.0
E01000381,4,1652,False,0,0.0,0.0
E01000382,10,1592,False,0,0.0,0.0
E01000383,6,1669,False,0,0.0,0.0
E01000384,7,1751,False,0,0.0,0.0
E01000385,3,2136,False,0,0.0,0.0
E01000386,2,1608,True,1608,2916.677756432948,9.974575509581657
E01000387,9,1506,False,0,0.0,0.0
E01000388,9,1569,False,0,0.0,0.0
E01000389,8,1737,False,0,0.0,0.0
E01000390,9,1418,False,0,0.0,0.0
E01000391,7,1809,False,0,0.0,0.0
E01000392,4,2106,False,0,0.0,0.0
E01000393,9,1771,False,0,0.0,0.0
E01000394,9,1677,False,0,0.0,0.0
E01000395,10,1547,False,0,0.0,0.0
E01000396,10,1447,False,0,0.0,0.0
E01000398,5,1669,False,0,0.0,0.0
E01000399,9,1684,False,0,0.0,0.0
E01000400,7,1638,False,0,0.0,0.0
E01000401,4,1944,False,0,0.0,0.0
E01000402,4,1669,False,0,0.0,0.0
E01000403,2,2535,True,2535,4020.9420936655815,13.750984470075014
E01000404,2,2599,True,2599,15340.97456978428,52.463700832013075
E01000405,4,1697,False,0,0.0,0.0
E01000406,5,2403,False,0,0.0,0.0
E01000407,7,2173,False,0,0.0,0.0
E01000408,3,1837,False,0,0.0,0.0
E01000409,10,1847,False,0,0.0,0.0
E01000410,9,1717,False,0,0.0,0.0
E01000411,8,1563,False,0,0.0,0.0
E01000412,8,1761,False,0,0.0,0.0
E01000413,8,1347,False,0,0.0,0.0
E01000414,6,2006,False,0,0.0,0.0
E01000415,10,1425,False,0,0.0,0.0
E01000416,4,1463,False,0,0.0,0.0
E01000417,5,1737,False,0,0.0,0.0
E01000418,6,2001,False,0,0.0,0.0
E01000419,9,1487,False,0,0.0,0.0
E01000420,8,1561,False,0,0.0,0.0
E01000421,10,1551,False,0,0.0,0.0
E01000422,3,977,False,0,0.0,0.0
E01000423,10,1702,False,0,0.0,0.0
E01000424,9,1664,False,0,0.0,0.0
E01000425,10,1787,False,0,0.0,0.0
E01000426,8,1634,False,0,0.0,0.0
E01000427,7,2066,False,0,0.0,0.0
E01000428,4,1945,False,0,0.0,0.0
E01000429,2,1850,True,1850,6047.491650274738,20.681462659420358
E01000430,5,2120,False,0,0.0,0.0
E01000431,2,1620,True,1620,10981.763022314048,37.55588846001518
E01000433,2,2055,True,2055,6575.762884273047,22.48806652624597
E01000434,2,1673,True,1673,1077.5806736886532,3.6851550616679996
E01000435,3,1551,False,0,0.0,0.0
E01000436,10,1699,False,0,0.0,0.0
E01000437,8,1397,False,0,0.0,0.0
E01000438,6,1759,False,0,0.0,0.0
E01000439,3,1578,False,0,0.0,0.0
E01000440,10,1369,False,0,0.0,0.0
E01000441,2,1855,True,1855,7780.851453838108,26.609278376389135
E01000442,8,1754,False,0,0.0,0.0
E01000443,6,1276,False,0,0.0,0.0
E01000444,10,1601,False,0,0.0,0.0
E01000445,10,1700,False,0,0.0,0.0
E01000446,10,1495,False,0,0.0,0.0
E01000447,7,1996,False,0,0.0,0.0
E01000448,10,1318,False,0,0.0,0.0
E01000449,10,1606,False,0,0.0,0.0
E01000450,6,1815,False,0,0.0,0.0
E01000451,9,1780,False,0,0.0,0.0
E01000452,10,1416,False,0,0.0,0.0
E01000453,9,1531,False,0,0.0,0.0
E01000454,6,1763,False,0,0.0,0.0
E01000455,9,1836,False,0,0.0,0.0
E01000456,10,1389,False,0,0.0,0.0
E01000457,7,2387,False,0,0.0,0.0
E01000458,10,1561,False,0,0.0,0.0
E01000459,6,1966,False,0,0.0,0.0
E01000460,10,1233,False,0,0.0,0.0
E01000461,10,1711,False,0,0.0,0.0
E01000462,7,2191,False,0,0.0,0.0
E01000463,10,1327,False,0,0.0,0.0
E01000464,3,1557,False,0,0.0,0.0
E01000465,3,1740,False,0,0.0,0.0
E01000466,3,1811,False,0,0.0,0.0
E01000467,4,1779,False,0,0.0,0.0
E01000468,5,2977,False,0,0.0,0.0
E01000469,5,1824,False,0,0.0,0.0
E01000470,2,2152,True,2152,6026.435850623908,20.609455162853894
E01000645,10,1444,False,0,0.0,0.0
E01000646,9,1850,False,0,0.0,0.0
E01000647,9,1661,False,0,0.0,0.0
E01000648,9,1987,False,0,0.0,0.0
E01000649,9,2167,False,0,0.0,0.0
E01000650,9,1784,False,0,0.0,0.0
E01000651,8,1738,False,0,0.0,0.0
E01000652,10,1748,False,0,0.0,0.0
E01000653,10,1545,False,0,0.0,0.0
E01000654,8,1304,False,0,0.0,0.0
E01000655,8,1324,False,0,0.0,0.0
E01000656,9,1528,False,0,0.0,0.0
E01000657,6,1562,False,0,0.0,0.0
E01000658,9,1358,False,0,0.0,0.0
E01000659,9,1419,False,0,0.0,0.0
E01000661,3,2849,False,0,0.0,0.0
E01000662,7,1823,False,0,0.0,0.0
E01000663,6,1731,False,0,0.0,0.0
E01000664,7,1629,False,0,0.0,0.0
E01000665,8,1919,False,0,0.0,0.0
E01000666,10,1905,False,0,0.0,0.0
E01000667,10,1676,False,0,0.0,0.0
E01000668,7,2213,False,0,0.0,0.0
E01000669,8,1739,False,0,0.0,0.0
E01000670,10,2003,False,0,0.0,0.0
E01000671,7,2347,False,0,0.0,0.0
E01000672,9,1676,False,0,0.0,0.0
E01000673,8,1670,False,0,0.0,0.0
E01000674,6,1732,False,0,0.0,0.0
E01000676,4,2191,False,0,0.0,0.0
E01000677,7,1911,False,0,0.0,0.0
E01000678,9,1848,False,0,0.0,0.0
E01000679,8,1799,False,0,0.0,0.0
E01000680,9,1646,False,0,0.0,0.0
E01000681,10,1735,False,0,0.0,0.0
E01000682,10,1596,False,0,0.0,0.0
E01000683,8,1779,False,0,0.0,0.0
E01000684,10,2122,False,0,0.0,0.0
E01000685,8,1643,False,0,0.0,0.0
E01000686,9,1486,False,0,0.0,0.0
E01000687,9,1459,False,0,0.0,0.0
E01000688,10,1411,False,0,0.0,0.0
E01000689,5,1611,False,0,0.0,0.0
E01000690,10,1366,False,0,0.0,0.0
E01000691,7,1550,False,0,0.0,0.0
E01000692,8,1661,False,0,0.0,0.0
E01000693,9,1501,False,0,0.0,0.0
E01000694,10,2313,False,0,0.0,0.0
E01000695,10,1543,False,0,0.0,0.0
E01000696,10,1639,False,0,0.0,0.0
E01000697,9,1774,False,0,0.0,0.0
E01000698,10,1217,False,0,0.0,0.0
E01000699,5,1476,False,0,0.0,0.0
E01000700,7,1518,False,0,0.0,0.0
E01000701,8,1428,False,0,0.0,0.0
E01000702,8,1451,False,0,0.0,0.0
E01000703,8,1815,False,0,0.0,0.0
E01000704,8,1501,False,0,0.0,0.0
E01000705,5,1430,False,0,0.0,0.0
E01000706,7,1444,False,0,0.0,0.0
E01000707,10,1496,False,0,0.0,0.0
E01000708,9,1607,False,0,0.0,0.0
E01000709,7,1474,False,0,0.0,0.0
E01000710,9,2678,False,0,0.0,0.0
E01000711,7,1919,False,0,0.0,0.0
E01000712,9,1757,False,0,0.0,0.0
E01000713,9,1941,False,0,0.0,0.0
E01000714,7,2249,False,0,0.0,0.0
E01000715,10,1781,False,0,0.0,0.0
E01000716,10,1604,False,0,0.0,0.0
E01000717,9,1713,False,0,0.0,0.0
E01000718,5,2089,False,0,0.0,0.0
E01000719,4,2278,False,0,0.0,0.0
E01000720,2,1755,True,1755,233.35635034035084,0.7980417212619597
E01000721,2,1651,True,1651,6098.6836436117155,20.856531160525588
E01000722,5,1937,False,0,0.0,0.0
E01000723,9,1250,False,0,0.0,0.0
E01000724,2,1733,True,1733,4202.3665831022845,14.371427460454193
E01000725,4,1852,False,0,0.0,0.0
E01000726,7,1308,False,0,0.0,0.0
E01000727,6,1715,False,0,0.0,0.0
E01000728,5,1686,False,0,0.0,0.0
E01000729,2,1899,True,1899,7262.376610168545,24.8361766113435
E01000730,2,1859,True,1859,5041.0026805097805,17.239429954114055
E01000731,4,1421,False,0,0.0,0.0
E01000732,8,1502,False,0,0.0,0.0
E01000733,5,1669,False,0,0.0,0.0
E01000734,9,1410,False,0,0.0,0.0
E01000735,4,1588,False,0,0.0,0.0
E01000736,4,1694,False,0,0.0,0.0
E01000737,3,1382,False,0,0.0,0.0
E01000738,6,1803,False,0,0.0,0.0
E01000739,2,1732,True,1732,7570.644414128163,25.890403627333296
E01000741,5,1866,False,0,0.0,0.0
E01000742,5,2143,False,0,0.0,0.0
E01000743,2,1858,True,1858,5952.568486112891,20.35684048734376
E01000744,2,1509,True,1509,7148.605292300885,24.447096741826662
E01000745,5,1886,False,0,0.0,0.0
E01000746,6,1988,False,0,0.0,0.0
E01000747,5,2089,False,0,0.0,0.0
E01000748,8,1615,False,0,0.0,0.0
E01000749,8,1593,False,0,0.0,0.0
E01000750,3,1439,False,0,0.0,0.0
E01000751,10,2314,False,0,0.0,0.0
E01000752,9,1699,False,0,0.0,0.0
E01000753,10,1904,False,0,0.0,0.0
E01000754,10,1805,False,0,0.0,0.0
E01000755,10,1647,False,0,0.0,0.0
E01000756,10,1684,False,0,0.0,0.0
E01000757,10,1563,False,0,0.0,0.0
E01000758,10,1468,False,0,0.0,0.0
E01000759,10,1658,False,0,0.0,0.0
E01000760,8,1714,False,0,0.0,0.0
E01000761,10,1569,False,0,0.0,0.0
E01000762,9,1828,False,0,0.0,0.0
E01000763,10,1443,False,0,0.0,0.0
E01000764,7,1834,False,0,0.0,0.0
E01000765,9,1843,False,0,0.0,0.0
E01000766,10,1904,False,0,0.0,0.0
E01000767,10,1609,False,0,0.0,0.0
E01000768,9,1557,False,0,0.0,0.0
E01000769,5,1432,False,0,0.0,0.0
E01000770,10,1524,False,0,0.0,0.0
E01000771,10,1681,False,0,0.0,0.0
