Postcode,Latitude,Longitude
IG117NB,51.536321,0.079819
RM109QS,51.540072,0.149629
RM65NJ,51.585413,0.135903
HA04PW,51.54121,-0.299493
NW98JD,51.577816,-0.263099
NW109SD,51.545088,-0.250039
NW108DX,51.542238,-0.261022
NW65HE,51.53272,-0.197598
HA98RJ,51.571953,-0.300597
NW100TS,51.550524,-0.267341
NW103HL,51.538338,-0.217449
HA99YP,51.561806,-0.269552
EC1R4SR,51.522439,-0.112206
NW19SU,51.541893,-0.133205
NW11HQ,51.532374,-0.130639
NW18DQ,51.545346,-0.148496
NW62JL,51.544759,-0.198002
NW13TJ,51.530757,-0.141476
SE256XX,51.396769,-0.080382
CR28HD,51.350981,-0.046881
N182HN,51.616815,-0.056551
EN34PX,51.641512,-0.037341
SE288EZ,51.501615,0.113641
SE137QZ,51.470559,-0.016321
SE39QX,51.463407,0.035787
SE186BD,51.484696,0.06645
E83RP,51.538161,-0.05843
E50EG,51.552359,-0.037848
N167SH,51.558626,-0.069231
N42NP,51.568795,-0.092739
W120AP,51.517033,-0.242986
SW65PG,51.477371,-0.199393
SW66JR,51.479322,-0.221768
N103QJ,51.589448,-0.141824
N170QA,51.603573,-0.056842
N226JA,51.593835,-0.105797
N156NU,51.577882,-0.081997
TW34JG,51.47585,-0.366409
TW80BJ,51.487605,-0.296952
TW135AF,51.447427,-0.405689
N12SX,51.545135,-0.08995
N77EN,51.561138,-0.115768
N10DX,51.540659,-0.11784
SE279UD,51.426737,-0.096589
SE115BZ,51.484709,-0.111864
SW162LW,51.435965,-0.116708
SW22JE,51.452412,-0.113858
SW48EG,51.451563,-0.131049
SW99TG,51.466433,-0.117326
SE63HB,51.431788,-0.023094
SE85NH,51.484679,-0.034548
BR15PD,51.429056,0.00169
SE264BY,51.436037,-0.057801
SE83PZ,51.491973,-0.034637
SE64JF,51.44993,-0.01746
SE41JJ,51.45311,-0.024721
SE42JD,51.456864,-0.042638
CR41SD,51.409851,-0.149013
CR43BH,51.408023,-0.178133
E62RT,51.53331,0.058313
E125PB,51.553434,0.05948
E163JH,51.513581,0.031423
E153JT,51.535544,0.009907
SE50RN,51.483869,-0.085022
SE156DT,51.477306,-0.077981
SE218QS,51.430327,-0.079666
SE153PD,51.464168,-0.064353
SE163PN,51.490249,-0.062326
E148AP,51.508547,-0.029816
E146AW,51.51272,-0.015383
E15QT,51.523711,-0.055788
E143BX,51.490589,-0.008033
E12EN,51.517613,-0.056811
E33LL,51.522879,-0.012562
E20SN,51.52859,-0.044219
E34GY,51.52094,-0.030362
E29DL,51.534146,-0.054925
E10AF,51.510864,-0.051161
E10ND,51.513692,-0.04062
E35DS,51.530263,-0.035612
E32RU,51.533948,-0.026398
E12JP,51.514507,-0.060432
E46EY,51.625359,0.009538
E114LF,51.55813,0.006474
E178PJ,51.576839,-0.026677
E175PX,51.597912,-0.040839
