PHARMACY_ODS_CODE_F_CODE,SiteName,Postcode,Latitude,Longitude,GeocodeMethod,MatchedAddress
FA049,FA STRANGE CHEMIST,E5 8EQ,51.55511,-0.055041,postcode_centroid,
FA052,TESCO INSTORE PHARMACY,RM13 9YZ,51.520104,0.190681,postcode_centroid,
FA078,FAIRVIEW PHARMACY,HA8 5ED,51.604785,-0.272944,postcode_centroid,
FA084,BOOTS,DA1 4LD,51.451254,0.181465,postcode_centroid,
FA089,SAI PHARMACY,E1 8ZF,51.513471,-0.068489,postcode_centroid,
FA150,MEDWAY PHARMACY,UB6 8HR,51.534584,-0.332773,postcode_centroid,
FA196,HARFLEUR CHEMIST,SW9 9BE,51.471886,-0.122573,postcode_centroid,
FA202,LORDS PHARMACY,SW20 8LB,51.410677,-0.210253,postcode_centroid,
FA244,WALKER CHEMISTS,W3 8HR,51.50235,-0.281345,postcode_centroid,
FA252,CROSSBELLS PHARMACY,W3 7RQ,51.506434,-0.254,postcode_centroid,
FA271,BOOTS,SE26 5EX,51.4265,-0.052667,postcode_centroid,
FA287,PULSE PHARMACY,SW9 9AE,51.470752,-0.124765,postcode_centroid,
FA332,PLUMSTEAD PHARMACY,SE2 0XJ,51.485123,0.102623,postcode_centroid,
FA345,GOOD HEALTH PHARMACIES LTD,N15 5AA,51.585282,-0.078106,postcode_centroid,
FA366,HEDGEMANS PHARMACY,RM9 6BU,51.539076,0.129278,postcode_centroid,
FA400,THOMAS JAMES CHEMIST,SW19 8EF,51.438073,-0.197053,postcode_centroid,
FA430,AMY PHARMACY,N8 8SY,51.581249,-0.126123,postcode_centroid,
FA450,TOTTY PHARMACY,SE7 7AE,51.486175,0.032249,postcode_centroid,
FA467,VICTORIA PHARMACY,SW1P 4EN,51.494031,-0.130207,postcode_centroid,
FA544,WINCHESTER PHARMACY,UB7 7JZ,51.505946,-0.475003,postcode_centroid,
FA554,SOKA BLACKMORE PHARMACY,DA8 1DB,51.484546,0.16492,postcode_centroid,
FA623,CHANA CHEMIST,SE1 6AD,51.496458,-0.093802,postcode_centroid,
FA632,BOOTS,NW3 4QG,51.550623,-0.16559,postcode_centroid,
FA675,HC HEARD CHEMISTS,NW4 2ES,51.585025,-0.219014,postcode_centroid,
FA683,HAM PARADE PHARMACY,KT2 5QU,51.43077,-0.307366,postcode_centroid,
FA711,LEYTON ORIENT PHARMACY,E10 5NF,51.560214,-0.011858,postcode_centroid,
FA716,WOOLWICH LATE NIGHT PHARMACY,SE18 6AB,51.490359,0.068593,postcode_centroid,
FA737,BOOTS,RM3 9PH,51.604943,0.235036,postcode_centroid,
FA767,KAMSONS PHARMACY,SE20 8QA,51.41277,-0.06418,postcode_centroid,
FA808,ORCHARD PHARMACY,UB7 7TU,51.497971,-0.472345,postcode_centroid,
FA880,BANSTEAD PHARMACY,SM5 3NP,51.356916,-0.173425,postcode_centroid,
FA906,BOOTS,WC2E 9NT,51.513167,-0.124551,postcode_centroid,
FA976,WELL,E4 9LD,51.608384,0.000412,postcode_centroid,
FAC32,P EDWARD LTD,N1 1BB,51.540145,-0.11665,postcode_centroid,
FAD32,DUNN CHEMISTS,TW5 9TY,51.479597,-0.41197,postcode_centroid,
FAD37,ABBOTT PHARMACY,N10 1LR,51.599493,-0.14758,postcode_centroid,
FAD49,NIGHTINGALE PHARMACY,SE8 4RG,51.477407,-0.025673,postcode_centroid,
FAD50,SPRINGFIELD PHARMACY,SW8 2SH,51.470826,-0.133329,postcode_centroid,
FAD73,BRUNEL PHARMACY,UB8 3PH,51.53284,-0.472836,postcode_centroid,
FAD85,PAYDENS PHARMACY,BR3 3PR,51.405765,-0.033404,postcode_centroid,
FAE00,SUPERDRUG PHARMACY,HA1 2TA,51.581749,-0.333415,postcode_centroid,
FAE25,REEMS PHARMACY,HA3 6DN,51.613056,-0.331849,postcode_centroid,
FAF00,SHACKLOCK CHEMIST,SW16 6EN,51.426246,-0.130888,postcode_centroid,
FAF05,WHITTON CORNER PHARMACY,TW2 6JL,51.44496,-0.361741,postcode_centroid,
FAF65,M.GOKANI CHEMIST,UB5 5AB,51.544769,-0.37359,postcode_centroid,
FAG10,HALE PHARMACY,HA8 9QW,51.616813,-0.261063,postcode_centroid,
FAG14,CLOCKWORK PHARMACY,N1 1EF,51.540099,-0.117156,postcode_centroid,
FAG17,PRIMROSE CHEMIST,NW1 8UR,51.542151,-0.156341,postcode_centroid,
FAG22,BARKERS CHEMIST,SW20 0LA,51.409651,-0.230928,postcode_centroid,
FAG48,BURRAGE PHARMACY,SE18 7BE,51.48443,0.071292,postcode_centroid,
FAG82,HAM VILLAGE PHARMACY,TW10 7NR,51.436383,-0.320583,postcode_centroid,
FAG93,KAMSONS PHARMACY,SM6 0HY,51.357264,-0.150862,postcode_centroid,
FAH51,HANWELL PHARMACY,W7 1DR,51.510264,-0.334353,postcode_centroid,
FAH85,BOOTS,BR1 1JY,51.402027,0.01618,postcode_centroid,
FAJ87,MARKRISE PHARMACY,SW16 6LY,51.424448,-0.141088,postcode_centroid,
FAK52,SABEL CHEMIST,NW4 2DT,51.586643,-0.220148,postcode_centroid,
FAK87,YEMI PHARMACY,E15 1EN,51.544652,0.004741,postcode_centroid,
FAK90,SOGIM PHARMACY,SE22 8HF,51.457483,-0.075662,postcode_centroid,
FAL14,MORRISONS PHARMACY,SE15 5EW,51.472737,-0.068655,postcode_centroid,
FAL35,MICHAEL FRANKLIN CHEMISTS,E17 7PJ,51.580699,-0.032688,postcode_centroid,
FAL39,GOLDHAWK PHARMACY,W12 8QQ,51.502878,-0.223805,postcode_centroid,
FAL54,CLOCKWORK PHARMACY LTD,NW10 1QJ,51.559803,-0.251465,postcode_centroid,
FAM62,BOOTS,N15 4QD,51.587603,-0.062273,postcode_centroid,
FAM67,SIGNATURE PHARMACY,W3 0TJ,51.523617,-0.277646,postcode_centroid,
FAM90,TESCO INSTORE PHARMACY,SE1 5HG,51.488896,-0.076226,postcode_centroid,
FAM93,ACE PHARMACY,KT9 1DR,51.374604,-0.303748,postcode_centroid,
FAN35,BOOTS,SW16 1BB,51.431138,-0.129782,postcode_centroid,
FAN61,BOOTS,CR0 4YJ,51.379126,-0.126529,postcode_centroid,
FAP61,DAY LEWIS PHARMACY,RM10 9XB,51.539871,0.158128,postcode_centroid,
FAP70,CARTERS CHEMIST,HA5 3JF,51.595214,-0.383815,postcode_centroid,
FAP80,MANOR CHEMIST & TRAVEL CLINIC,CR4 1DL,51.401255,-0.146212,postcode_centroid,
FAQ24,DAYSOL PHARMACY,DA1 4RA,51.46391,0.181766,postcode_centroid,
FAQ26,DEVONSHIRE PHARMACY,W2 1ES,51.518674,-0.16859,postcode_centroid,
FAQ59,ALDERMANS PHARMACY,N13 4PN,51.618216,-0.110372,postcode_centroid,
FAQ84,GREEN LIGHT PHARMACY,E1 4FG,51.51839,-0.038112,postcode_centroid,
FAR43,MASTAA-CARE PHARMACY LTD,RM8 1BJ,51.562542,0.147326,postcode_centroid,
FAR80,GARNERS CHEMIST,HA1 4JJ,51.582017,-0.350509,postcode_centroid,
FAT36,WALDEN CHEMISTS,SW1W 9PJ,51.493855,-0.151434,postcode_centroid,
FAT39,DOCTOR CARE PHARMACLINIC,W6 8RL,51.490074,-0.215012,postcode_centroid,
FAT67,BOOTS,NW4 3FB,51.576419,-0.223766,postcode_centroid,
FAV09,SANDBERN CHEMIST,RM8 1UU,51.562345,0.123063,postcode_centroid,
FAV17,GIMMACK PHARMACY,NW2 3HT,51.556846,-0.215759,postcode_centroid,
FAV27,BLENHEIM PHARMACY,W11 1LA,51.516461,-0.205188,postcode_centroid,
FAX69,LAKES PHARMACY,NW2 6GY,51.567813,-0.229124,postcode_centroid,
