Practice code,Practice name,ICB area,Borough,Post Code,Matched Address,Matched Postcode,Latitude,Longitude,TomTom Score,Match Type
E83005,Lichfield Grove Surgery,NCL,Barnet,N3 2JP,"2 Lichfield Grove, Finchley, London, N3 2JP",,51.5996,-0.19323,13.0667867661,Name + postcode match
E83007,Squires Lane Medical Practice,NCL,Barnet,N3 2AU,"2 Squires Lane, Finchley, London, N3 2AU",,51.6025,-0.174963,15.1659879684,Name + postcode match
E83008,Heathfielde Medical Centre,NCL,Barnet,N2 0EQ,"8 Lyttelton Road, East Finchley, London, N2 0EQ",,51.585224,-0.179772,13.0667867661,Name + postcode match
E83009,PHGH Doctors,NCL,Barnet,NW11 7TE,"23 Temple Fortune Lane, Golders Green, London, NW11 7TE",,51.5811,-0.197831,10.9264259338,Name + postcode match
E83011,The Everglade Medical Practice,NCL,Barnet,NW9 5XT,"Quakers Course, Colindale, London, NW9 5UA",,51.6016,-0.244195,12.2919082642,Name + postcode match
E83012,The Old Court House Surgery,NCL,Barnet,EN5 4BB,"27 Wood Street, Barnet, EN5 4BE",,51.6529,-0.201577,14.4342918396,Name + postcode match
E83013,Cornwall House Surgery,NCL,Barnet,N12 9SS,"16 Torrington Park, North Finchley, London, N12 9SS",,51.617,-0.17545,13.0667867661,Name + postcode match
E83016,Millway Medical Practice,NCL,Barnet,NW7 2HX,"2 Hartley Avenue, Mill Hill, London, NW7 2HX",,51.615526,-0.243984,13.0667867661,Name + postcode match
E83018,Watling Medical Centre,NCL,Barnet,HA8 0NR,"108 Watling Avenue, Edgware, HA8 0NR",,51.6033,-0.262007,13.0667867661,Name + postcode match
E83024,St Andrews Medical Practice,NCL,Barnet,N20 9EX,"50 Oakleigh Road North, Whetstone, London, N20 9EX",,51.6301,-0.172365,15.1659879684,Name + postcode match
E83028,Parkview Surgery,NCL,Barnet,HA8 0RW,"36 Cressingham Road, Edgware, HA8 0RW",,51.60723,-0.257636,10.9264259338,Name + postcode match
E83028001,Parkview Surgery: Grahame Park Surgery,NCL,Barnet,,"24 Leicester Road, Loughborough, LE11 2AG",,52.76961,-1.202659,9.3099079132,Name + postcode match
E83031,The Village Surgery,NCL,Barnet,EN4 8RF,"113 East Barnet Road, Barnet, EN4 8RF",,51.6482,-0.16829,13.0667867661,Name + postcode match
E83032,Oak Lodge Medical Centre,NCL,Barnet,HA8 0AP,"234 Burnt Oak Broadway, Edgware, HA8 0AP",,51.6044,-0.2717,15.1659879684,Name + postcode match
E83034,Colney Hatch Lane Surgery,NCL,Barnet,N10 1ET,"192 Colney Hatch Lane, Muswell Hill, London, N10 1ET",,51.60133,-0.14753,15.1659879684,Name + postcode match
E83035,Wentworth Medical Practice,NCL,Barnet,N3 1YL,"38 Wentworth Avenue, Finchley, London, N3 1YL",,51.6077,-0.187909,13.0667867661,Name + postcode match
E83035001,Wentworth Medical Practice: Audley Medical Practice,NCL,Barnet,,"38 Wentworth Avenue, Finchley, London, N3 1YL",,51.6077,-0.187909,12.5350446701,Name + postcode match
E83037,Derwent Crescent Medical Centre,NCL,Barnet,N20 0QQ,"Derwent Crescent, North Finchley, London, N20 0QQ",,51.622311,-0.17511,11.3151130676,Name + postcode match
E83044,Addington Medical Centre,NCL,Barnet,EN5 1QH,"1 Station Road, New Barnet, Barnet, EN5 1QH",,51.649689,-0.176864,13.0667867661,Name + postcode match
E83045,Friern Barnet Medical Centre,NCL,Barnet,N11 3BU,"16 Friern Barnet Road, Friern Barnet, London, N11 3BU",,51.613237,-0.156458,15.1659879684,Name + postcode match
E83050,East Finchley Medical Centre,NCL,Barnet,N2 9QD,"39 Baronsmere Road, East Finchley, London, N2 9QD",,51.5881,-0.162119,13.0038108826,Name + postcode match
E83668,Deans Lane Medical Centre,NCL,Barnet,HA8 9NT,"156 Dean's Lane, Edgware, HA8 9NT",,51.616175,-0.260349,14.4109344482,Name + postcode match
Y00316,Woodlands Medical Practice,NCL,Barnet,N2 8BG,"54 Leopold Road, East Finchley, London, N2 8BG",,51.5933,-0.1706,13.0038108826,Name + postcode match
Y03663,Hendon Way Surgery,NCL,Barnet,NW9 7DG,"215 West Hendon Broadway, Kingsbury, London, NW9 7DG",,51.578741,-0.241119,13.0667867661,Name + postcode match
E87066,Fitzrovia Medical Centre,NCL,Camden,W1T 6EU,"31 Fitzroy Square, West End, London, W1T 6JF",,51.522469,-0.140447,10.1927070618,Name + postcode match
F7B0O,Babylon GP at Hand: Drummond Street Surgery,NCL,Camden,,"184 Drummond Street, Regents Park, London, NW1 3HP",,51.5263,-0.140615,12.327123642,Name + postcode match
F83003,Park End Surgery,NCL,Camden,NW3 2SE,"3 Park End, Belsize Park, London, NW3 2SE",,51.555991,-0.165626,13.0667867661,Name + postcode match
F83005,Gower Street Practice,NCL,Camden,WC1E 6DP,"20 Gower Street, Bloomsbury, London, WC1E 6DP",,51.520356,-0.130128,13.0667867661,Name + postcode match
F83011,Primrose Hill Surgery,NCL,Camden,NW1 8UR,"99 Regent's Park Road, Camden Town, London, NW1 8UR",,51.5421,-0.156352,13.0667867661,Name + postcode match
F83017,Hampstead Group Practice,NCL,Camden,NW3 2QU,"75 Fleet Road, Belsize Park, London, NW3 2QU",,51.55354,-0.16308,13.0667867661,Name + postcode match
F83018,Prince of Wales Group Surgery,NCL,Camden,NW5 3LN,"52 Prince of Wales Road, Kentish Town, London, NW5 3LN",,51.546535,-0.14698,15.0836200714,Name + postcode match
F83019,Abbey Medical Centre,NCL,Camden,NW8 0AG,"14 Abbey Road, Saint Johns Wood, London, NW8 0AG",,51.5379,-0.185117,13.0667867661,Name + postcode match
F83020,Adelaide Medical Centre,NCL,Camden,NW3 3RY,"111 Adelaide Road, Swiss Cottage, London, NW3 3RY",,51.5436,-0.1614,13.0667867661,Name + postcode match
F83025,The Regents Park Practice,NCL,Camden,NW1 3RH,"3 Cumberland Market, Regents Park, London, NW1 3RH",,51.52933,-0.1418,12.9420347214,Name + postcode match
F83042,Gray's Inn Road Medical Centre,NCL,Camden,WC1X 8TS,"77 Gray's Inn Road, Grays Inn, London, WC1X 8TS",,51.5228,-0.1145,14.5537843704,Name + postcode match
F83043,Ridgmount Practice,NCL,Camden,WC1E 7AA,"7 Ridgmount Place, Bloomsbury, London, WC1E 7AA",,51.520429,-0.131116,10.9264259338,Name + postcode match
F83050,Fortune Green Road Surgery,NCL,Camden,NW6 1DS,"Fortune Green Road, South & West Hampstead, London, NW6 1DS",,51.555241,-0.196693,13.5316133499,Name + postcode match
F83052,Brookfield Park Surgery,NCL,Camden,N19 5BZ,"68 Chester Road, Tufnell Park, London, N19 5BZ",,51.563932,-0.143139,13.0667867661,Name + postcode match
F83057,Parliament Hill Surgery,NCL,Camden,NW5 1TR,"117 Highgate Road, Kentish Town, London, NW5 1TR",,51.55532,-0.14556,12.9156446457,Name + postcode match
F83058,Holborn Medical Centre,NCL,Camden,WC1N 3NA,"64 Lamb's Conduit Street, Bloomsbury, London, WC1N 3NA",,51.522203,-0.118514,13.0667867661,Name + postcode match
F83061,Museum Practice,NCL,Camden,WC1B 3BA,"58 Great Russell Street, Bloomsbury, London, WC1B 3BA",,51.51828,-0.12536,10.9264259338,Name + postcode match
F83615,Cholmley Gardens Surgery,NCL,Camden,NW6 1AE,"1 Cholmley Gardens, South & West Hampstead, London, NW6 1AE",,51.552171,-0.195195,12.8814239502,Name + postcode match
