Practice code,Practice name,ICB area,Borough,Post Code
E83005,Lichfield Grove Surgery,NCL,Barnet,N3 2JP
E83007,Squires Lane Medical Practice,NCL,Barnet,N3 2AU
E83008,Heathfielde Medical Centre,NCL,Barnet,N2 0EQ
E83009,PHGH Doctors,NCL,Barnet,NW11 7TE
E83011,The Everglade Medical Practice,NCL,Barnet,NW9 5XT
E83012,The Old Court House Surgery,NCL,Barnet,EN5 4BB
E83013,Cornwall House Surgery,NCL,Barnet,N12 9SS
E83016,Millway Medical Practice,NCL,Barnet,NW7 2HX
E83018,Watling Medical Centre,NCL,Barnet,HA8 0NR
E83024,St Andrews Medical Practice,NCL,Barnet,N20 9EX
E83028,Parkview Surgery,NCL,Barnet,HA8 0RW
E83028001,Parkview Surgery: Grahame Park Surgery,NCL,Barnet,#N/A
E83031,The Village Surgery,NCL,Barnet,EN4 8RF
E83032,Oak Lodge Medical Centre,NCL,Barnet,HA8 0AP
E83034,Colney Hatch Lane Surgery,NCL,Barnet,N10 1ET
E83035,Wentworth Medical Practice,NCL,Barnet,N3 1YL
E83035001,Wentworth Medical Practice: Audley Medical Practice,NCL,Barnet,#N/A
E83037,Derwent Crescent Medical Centre,NCL,Barnet,N20 0QQ
E83044,Addington Medical Centre,NCL,Barnet,EN5 1QH
E83045,Friern Barnet Medical Centre,NCL,Barnet,N11 3BU
E83050,East Finchley Medical Centre,NCL,Barnet,N2 9QD
E83668,Deans Lane Medical Centre,NCL,Barnet,HA8 9NT
Y00316,Woodlands Medical Practice,NCL,Barnet,N2 8BG
Y03663,Hendon Way Surgery,NCL,Barnet,NW9 7DG
E87066,Fitzrovia Medical Centre,NCL,Camden,W1T 6EU
F7B0O,Babylon GP at Hand: Drummond Street Surgery,NCL,Camden,#N/A
F83003,Park End Surgery,NCL,Camden,NW3 2SE
F83005,Gower Street Practice,NCL,Camden,WC1E 6DP
F83011,Primrose Hill Surgery,NCL,Camden,NW1 8UR
F83017,Hampstead Group Practice,NCL,Camden,NW3 2QU
F83018,Prince of Wales Group Surgery,NCL,Camden,NW5 3LN
F83019,Abbey Medical Centre,NCL,Camden,NW8 0AG
F83020,Adelaide Medical Centre,NCL,Camden,NW3 3RY
F83025,The Regents Park Practice,NCL,Camden,NW1 3RH
F83042,Gray's Inn Road Medical Centre,NCL,Camden,WC1X 8TS
F83043,Ridgmount Practice,NCL,Camden,WC1E 7AA
F83050,Fortune Green Road Surgery,NCL,Camden,NW6 1DS
F83052,Brookfield Park Surgery,NCL,Camden,N19 5BZ
F83057,Parliament Hill Surgery,NCL,Camden,NW5 1TR
F83058,Holborn Medical Centre,NCL,Camden,WC1N 3NA
F83061,Museum Practice,NCL,Camden,WC1B 3BA
F83615,Cholmley Gardens Surgery,NCL,Camden,NW6 1AE
F83623,Keats Group Practice,NCL,Camden,NW3 1NR
F83632,Queens Crescent Practice,NCL,Camden,NW5 4EB
F83633,Daleham Gardens Surgery,NCL,Camden,NW3 5BY
F83635,Kings Cross Surgery,NCL,Camden,NW1 1HY
F83658,Belsize Priory Medical Practice (Group),NCL,Camden,NW6 4BJ
F83665,Swiss Cottage Surgery,NCL,Camden,NW3 3NP
Y02674,Camden Health Improvement Practice,NCL,Camden,NW1 2LS
B8T9I,East Enfield Practice: Brick Lane,NCL,Enfield,#N/A
D6Q8D,MHP: Southbury Surgery,NCL,Enfield,#N/A
D9T4W,MHP: Bush Hill Park Medical Centre,NCL,Enfield,#N/A
F85634,East Enfield Medical Centre,NCL,Enfield,EN3 4EZ
I1Z8L,MHP: Carlton House Surgery,NCL,Enfield,#N/A
O0H1S,MHP: Hertford Road Surgery,NCL,Enfield,#N/A
